分類,興味づけワード,限定性,希少性,具体性,初心者向け,時間・期間,権威性,損失回避・恐怖訴求,ベネフィット訴求,再現性,常識破壊
ベネフィット訴求,フォロワーをファンに変える,48時間限定,こっそりやってる方法,月５万,初心者,◯秒で,売れる文章の原理原則,一生、届かない発信,フォロワーをファンに変える,たった3つのロジック,「ライティングはAIにまかせれば良い！！でも・・・」
ベネフィット訴求,謎がわかります,3日だけ無料,トップランカー達,月1万円,ガチ初心者,最初の◯分で,極意,必ず読んでください,謎がわかります,ビジネスの構造,「時間をかければ良い文章が書けるという誤解」
ベネフィット訴求,空気をどう言葉に変えるか,5日間限定,特別にちょっと暴露,月100万,生徒さんもできた,〇〇時間だけ無料配布,感情にブッ刺す,本気で安すぎる,空気をどう言葉に変えるか,原理原則,「センスは天性だという思い込み（完全な思い込み）」
ベネフィット訴求,「あなたの文章は確実に変わります」,今だけ無料,最後まで見た方限定,月1000万,０→１,〇〇時間無料閲覧,あなたの虜に,なぜ皆、Xを頑張っても収益化につながらないのか,「あなたの文章は確実に変わります」,ロードマップ,「オリジナリティにこだわると迷走する」
ベネフィット訴求,「根本的な原因が分かります」,次はありません,条件クリア,1000インプ以上,速攻0→1,〇日間限定(◯/◯まで),実績0から初年度400万,発信に反応つかない,「根本的な原因が分かります」,結果を出してきた,「心理テクニックの罠に要注意」
ベネフィット訴求,「読者の心理を理解し、感情を動かす」,有料とします,伝説のスペース,1日100ポスト,01突破の達人,1日◯◯分〜◯時間,収益化の方法,DMのやり取りは苦手,「読者の心理を理解し、感情を動かす」,実際に稼いだ人は何をしたのか,「スパイスだけで味付けするようなもの」
ベネフィット訴求,「購入意欲を刺激する」,超シークレット特典,丸ごと要約,たった3つのポイント,「実績も経験も人脈もゼロ」,たった○日,再現できる,実績がない状態,「購入意欲を刺激する」,初心者でも即使えるレベルまで落とし込んで,「文章でモノを売りたいなら『文章を書こうとするな！』」
ベネフィット訴求,「文章スキルを根底から見直す」,3日間限定価格,ついに公開,○時間の動画,「何を書けばいいか分からず頭がフリーズ」,〇〇分動画,1000万プレイヤーが使う,SNS伸びてない人全員共通点がある,「文章スキルを根底から見直す」,ファンが勝手に増える方法をまとめた,「『初心者でも楽して』はオカルト」
ベネフィット訴求,「読者が読み続けたくなる文章」,○/〇 23:59まで,売れる人だけがやってる,初年度〇〇〇万以上,「何を始めればいいかさっぱりわからん」,"ながら""でも""なんど""でも聴ける",文章による信頼の勝ち取り方,疲弊せずに,「読者が読み続けたくなる文章」,投稿の伸び方が変わる,「3クリック／コピペ／不労所得…それ全部疑え」
ベネフィット訴求,「温かみがある言葉遣い」,3日後には〇〇〇〇円に値上げ,早めに,累計200万,「もう二度と騙されたくない」,,感情と信頼を同時に伝える方法,私が発信し始めた頃にいっちばん欲しかったもの,「温かみがある言葉遣い」,誰にでも作れる,「祈ろうが祈るまいが、行動すれば勝手に成功する」
ベネフィット訴求,「つい最後まで読んでしまった」,「限定公開スペシャルコンテンツ2本立て」,答え,3分で書いた文章,「文章を書くのが壊滅的に下手」,,技術,100円コンテンツで頑張って0→1して疲れちゃった人,「つい最後まで読んでしまった」,,「清涼剤代わりの動画集ではありません」
ベネフィット訴求,「この人から買いたい（信頼関係が高まる）」,「レビュー投稿者限定：4つの“超”お役立ち特典」,60分越えの動画,たった３時間,「『初心者でも』が枕ことばなら疑った方がいい」,,スタッフに棒読みさせて,SNS伸びてない人,「この人から買いたい（信頼関係が高まる）」,,イージーゲームになる
ベネフィット訴求,ポストだけで勝手にファンができる,「有料エリアの特典受け取り方法をご案内」,強者を分析してわかった,1000万プレイヤー,「力を身につけるのはあなた」,,1500以上のポストを分析,ネタ出し毎日しんどい,ポストだけで勝手にファンができる,,Xで頑張ってはいけない３つのこと
ベネフィット訴求,コンテンツが自然と売れる,総勢30名以上が実践,1500以上を分析して導き出した共通点,980円,鬼シンプル,,巷で人気の,AIまだ使いこなせてない,コンテンツが自然と売れる,,少フォロワーなのに1万を超えるインプをバンバン叩き出す
ベネフィット訴求,濃いフォロワーが勝手に増える,引用リツイートしていただいた方限定で,地味だけど即効性がある,3980円,日本語がわかればできるレベル,,稼げるジャンル,断り文句が一切出なくなる,濃いフォロワーが勝手に増える,,自分の強みとかいらない
ベネフィット訴求,刺さる投稿に変えられる,○日間限定で無料放出,投稿の1箇所をちょっと変えただけ,実例とセット,長文のリード文に悩むことなくなる,,需要ある市場,前、似たようなので失敗した,刺さる投稿に変えられる,,知識とかいらない
ベネフィット訴求,５桁超えの実績作って一気にステップアップ,,たった1つだけ意識する,厳選テーマ〇〇個,ポストだけで,,,予算的に厳しくて,５桁超えの実績作って一気にステップアップ,,オリジナルとか必要ない
