,投稿日時,テキスト,URL,imp,リプライ数,RT数,いいね数,引用数
,2024/07/07 17:16,AIの副業ジャンルは、「画像生成」よりも「ライティング」に価値を感じている。だって、「ライティング力」や「ビジネス力」を鍛えられるんだよ？この2つ鍛えまくったら、普通に会社辞めれるし、辞めた人もめっちゃ知ってるし。副業ならどう考えてもAIライティングだと思う。,https://twitter.com/maruichi_ai/status/1809863927553225051,5698,2,5,56,3
,2024/07/07 22:11,"クワウドワークスで、実績がなくても簡単にライター案件を取れる方法を教えます。""応募文の最初３行を死ぬほどこだわる”ことです。30件とか応募がある依頼主は、正直、全部見ていないですよね。最初の３行しか見ていない。だから、この３行に魂を込めて、まず見てもらうことが重要。",https://twitter.com/maruichi_ai/status/1809938258186621082,367,0,1,7,0
,2024/07/08 7:14,継続できない理由とは？それは、「やる理由」と「期限」が決まっていないから。これをやるって決めたら理由と期限を考える。理由は強ければ強いほど継続に繋がるし、期限は1ヵ月ぐらいの期限を決めればいい。結局、ゴールが明確じゃないから、続かないだよね。,https://twitter.com/maruichi_ai/status/1810074815543251180,213,0,0,6,0
,2024/07/08 20:41,会社員が副業で稼ぐなら、AIを使った副業、一択でしょ。本業をしつつ、副業をすると自ずと時間が限られる。毎日副業に充てられる時間なんて、2時間ぐらいですかね。限られた時間で成果を出すならAIを使って時短をするしかない。時給が低くてもいいなら、他の副業を選んでもいいと思うけどね,https://twitter.com/maruichi_ai/status/1810278128474038323,265,0,1,3,0
,2024/07/08 22:14,自分はAIライターで、初月10万稼ぎましたけど、ブロガーとか、資産になるかもとはいえ、１年やって1万の人とかざらですよね。AIライターで稼げちゃったから、ブロガーになろうとはもう、思えないよねWebライターで稼いだ後に、ブログとか自分の好きなことをすればいいのにと思う。,https://twitter.com/maruichi_ai/status/1810301307799970057,446,0,1,5,0
,2024/07/10 17:16,クラウドワークスで案件を見ているとAIの使用がNGのクライアントが一定数いる。これって過去に質が低いプロンプトで、記事を納品されことがあるクライアントか全くAIのことを理解していないクライアントのどちらかだもっと正しいAIの使い方が、広まってほしいと切実に思うし広めたい。,https://twitter.com/maruichi_ai/status/1810951101472186846,398,1,1,8,0
,2024/07/11 22:22,「なんか副業する気が起こらない」という現象に、人は陥る自分も陥ったでも、午前からコメダ珈琲に行って、4時間かけて記事を3本執筆しましたそしたら、少しモチベーションが回復したし、今までの「やっていなかった自分」が清算された時には場所を変えてガッとやるのが、おすすめです,https://twitter.com/maruichi_ai/status/1811390500240609381,425,0,1,7,0
,2024/07/12 20:12,プロンプトをしっかり書いても、AIに無視されることって結構ある。だから、AIに無視されないためにも、無視される文章の前に、強調を入れるといい。例えば「何がなんでも」や「必ず」と打ったら無視されにくくなる。一言付け加えるだけでも、プロンプトの精度も結構変わるよね。,https://twitter.com/maruichi_ai/status/1811720157120672204,298,0,1,5,0
,2024/07/13 20:23,副業で月5万稼ぎたい人はAIライティングを選んだ方がいい。AIを使うとライターが書いたみたいな記事が簡単にできちゃう。だから、すぐにライターを名乗れ、記事執筆の案件が取れる。副業に興味がない人がAIライティングをうまく使いこなせれば、文章力が上がり、10倍頭よく見られる。,https://twitter.com/maruichi_ai/status/1812085313252335932,434,0,1,7,0
,2024/07/18 19:40,月2回ぐらいで月1000万とか稼いでいる人からグループコンサルを受けているんだけど、めっちゃいい。自分の悩みも解決できるし、他の人の悩みも聞ける。・そんな視点があるんだ！とか・人はこんなことで悩むとかいろいろと勉強になるし他の人も頑張っているから自分も頑張ろうと思える。,https://twitter.com/maruichi_ai/status/1813886431066296347,269,0,1,4,0
