 ,投稿日時,テキスト,URL,imp,リプライ数,RT数,いいね数,引用数,投稿アプリ,@,名前,自己紹介,フォロー数,フォロワー数,ツイート数,アカウント作成日,
,2026/01/01 06:21,僕が初めて「コンテンツビジネス」的な話を聞いたのは、「ある消防士の人が月１０００万円稼いでいる」という話だった。2019年ぐらいかな。そのときにリアルで知り合った人が、「僕の知り合いの消防士がオンラインで月1000稼いでいます」と言っていた。オンラインで？どうやって？と、当時ゴリゴリに建設系の仕事でゴリゴリに稼いでいた僕も、ネットやマーケの知識が０だったので、どういうことか意味不明だった。聞くと、「消防士に受かりたい人向けに塾をオンランでやっています」とのことだった。実は結構有名なサービスなんだけど、当時そんなことは知らなくて。「あーおれもそういうのやりたいな」と思っていた。しかし5年経って、今気づくと、その人と同じようなことを気づけば僕もやっていて、勝手に集客が行われ、勝手にオンラインで収益が得ている状態になっていた。夢は叶うってやつだろうか。そんな僕が最初にやったことは、「twitterを頑張る」「ココナラを頑張る」という超地味なことだった。ココナラで1000円の商品が売れて飛び跳ねていたり、Twitterでアフィったら１万円の商品がアフィリ決まったりして、ジャンプして喜んでいた。僕が賢いのは、そういった「月３万円のネットでの売り上げ」を、すぐにノウハウとして展開して販売し、それを月２０万円にした。僕は2ヶ月頑張ったら、月２０万円を稼げてしまったのです。と、こんな具合に、小さいものから実績を積み上げ、どんどん大きくしていく。どんなビジネスだって一緒です。そういうリアルな情報は、僕のメルマガで語っているので、ぜひメルマガを見て欲しい。,https://twitter.com/neko_presi/status/2006475700870754746,6749,1,1,70,2,Twitter Web Client,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/31 15:27,「無理やり売るセールス」でゴリゴリ売上を立てるスタイルはとにかく周りからの評判が悪い。同業からも悪く言われているし、顧客も「なんか押されて入ってしまった」感が拭えないから、クレームやクーリングオフの率が極めて高い。情報商材系にも多いけど保険の営業マンでもそういう1億プレイヤーを軽く５人は見てきた。思うのは、そういう人たちはサイコパス系であって、結局自分の参考にはなりづらいし、微妙に幸せそうな顔をしていないので僕は「すごいなぁ」と思って傍観している。,https://twitter.com/neko_presi/status/2006250718575894663,922,1,0,45,0,Twitter Web Client,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/31 09:24,この間２２歳で2億稼ぐ事業家が言ってたんだけど、「マーケティングかセールスかの二項対立ではなく、セールスを楽にするためにマーケティングがあると思っているし、２つの本質はかなり似ているから２つ同時に勉強すると解像度上がります」と言っていて、マジでそうだなと思った。,https://twitter.com/neko_presi/status/2006159366659911722,1789,0,0,37,2,Twitter Web App,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/31 07:15,「人見知りだけど社交的」とかいうmixiのコミュニティが昔あって、なんかやたら当時感動して入会した記憶があるんだけど、そういう「根はインキャだけど社会性はある」的な人はSNSは向いている。だって僕がそうだから。そういう人は発信向いているし、「あんまり表で言えないぶっちゃけたこと」とかを発信していくのって、楽しいし、それで人が集まるってすごくいい世界と思う。,https://twitter.com/neko_presi/status/2006126903397097864,1408,2,0,39,1,Twitter Web Client,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/31 03:19,無理やり人の意思を曲げて買わせることを「マーケティング」と思っている人が多いんだけど、本来は「必要な人に最高なものを売るための流れを作ること」をマーケティングというはずです。心理操作をして、サイコパス的に煽り売らなくても億を稼ぐ事業家もたくさん見てきています。,https://twitter.com/neko_presi/status/2006067587264963026,896,0,2,41,0,Twitter Web App,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/30 07:10,僕は別に年末とか特に関係なくのらりと動くつもりです。普段から年末のような生活をすることもあるし、まぁやるときにやるって感じ。今年は年末年始を感じつつ、旅をしながら、パチパチ作業しようかなとも思っています。ちなみに、年末年始はチャンスと思ってもいます。僕が、twitter（X）の世界に入ったのは、1月3日だからです。仕事忙しすぎて31日まで働いて「このままじゃダメだろ」と思って年始に色々見てたら、気づいたらこの世界に入っていった経験を持っているからです。一念発起、がんばろと思う人って多いと思うので、逆張り的にこの時期にコンテンツを出したり、発信を頑張るのはありです。,https://twitter.com/neko_presi/status/2005763256439226427,1299,0,1,50,0,Twitter Web Client,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/29 18:26,SNSやコンテンツ販売で結果を出したいなら、「これは流石に誰か役に立つだろう」と、「誰か」を勝手に想像して興奮する必要があります。僕も、妄想でいろんなものを企画し、表に出しまくっていました。最初は特に、反応なんてなかった。でもそれをどんどん続けた。気づいていないだけで、表面に出ていないだけで、誰か役に立っているという確信と妄想があったから。思うに、ネットで稼ぐ人はこの「妄想力」に長けているのです。,https://twitter.com/neko_presi/status/2005571115234865528,1700,0,1,60,1,Twitter Web Client,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/29 06:08,「バックエンドの売り方」とかよくわかんねーって感じだったし、なんか「今決めてください」セールスするの嫌いだし、なんか方法ないかねーと思って生み出したものを開発して、それを生徒にシェアしたらバッキバキにバックエンドが「勝手に」決まるようになったのです。セールス未経験者や、学生とかにセールスやらせると、まじでろくなことがない（まじで）。だからねこシステムは強い。違和感なく、普通の人でもちゃんとやれば結果が出るっていう再現性を追求して形にしている人が、はたしてどのくらいいるのだろうか。いや、いないのではないだろうか。,https://twitter.com/neko_presi/status/2005385423963767157,2000,2,0,53,0,Twitter Web App,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/28 21:00,まぁ、価値あること言ってれば、収益化できるよ。Xは。,https://twitter.com/neko_presi/status/2005247359492456719,851,0,0,37,0,Twitter Web App,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
,2025/12/28 07:26,僕、スピ系の人から評判いいんだよね。対面で会った人からは、「いいオーラ発してるねぇ」的なことをよく言われます。これ結構、X頑張ってる人に必要なものだと思うんですけどね。だってさ、リアルであっても「なんか暗いなこの人」とか、「なんかオーラないな」って思うと残念じゃん。,https://twitter.com/neko_presi/status/2005042507173052905,1100,1,0,50,0,Twitter Web App,neko_presi,ねこ社長,豊かでありたい。情報発信開始2年で計7000万。最高月収1000万。起業して6年で累計３億。心理とか言語化得意。教えるものも得意。生徒も発信年収700万〜3000万とか多数。東京30年→福岡移住| 慶應卒｜実業複数社経営｜企業支援なども ｜https://t.co/EP0wod0PnI,3215,8778,21462,2021/05/10 07:59,
